Time,X,Y,Z
17:59:05,2.569050789,3.517402172,2.567914963
17:59:05,2.569000006,3.517355919,2.568486452
17:59:05,2.569552422,3.518522978,2.568249702
17:59:05,2.5680089,3.518275261,2.569067717
17:59:05,2.569606543,3.5174191,2.568731785
17:59:05,2.568654537,3.51825285,2.56757164
17:59:05,2.568907499,3.517543316,2.568572283
17:59:05,2.568841934,3.518194199,2.56746769
17:59:05,2.569231987,3.518159628,2.568094969
17:59:05,2.569017649,3.517467499,2.567222357
17:59:05,2.569198132,3.518320799,2.566846132
17:59:05,2.569466591,3.517684698,2.567225933
17:59:05,2.56866622,3.518006325,2.566473961
17:59:05,2.568579912,3.51790452,2.568267345
17:59:05,2.568651199,3.518049955,2.567672968
17:59:05,2.569264889,3.517416477,2.567857981
17:59:05,2.569130182,3.517369032,2.567440271
17:59:05,2.568732977,3.517127991,2.567205429
17:59:05,2.568516493,3.517052412,2.568620682
17:59:05,2.56878376,3.517209053,2.567429543
17:59:05,2.568647861,3.516343117,2.566727161
17:59:05,2.568248034,3.517165899,2.56774044
17:59:05,2.568126678,3.516893864,2.568217278
17:59:05,2.569051504,3.517014742,2.567256451
17:59:05,2.568564415,3.517359734,2.56720686
17:59:05,2.568402052,3.516762018,2.567926168
17:59:05,2.568146944,3.516908884,2.568145275
17:59:05,2.568156481,3.518231392,2.567058086
17:59:05,2.568761587,3.517374754,2.567515612
17:59:05,2.568569183,3.517514229,2.566614151
17:59:05,2.568409204,3.516311169,2.566145182
17:59:05,2.568569899,3.517029524,2.567807913
17:59:05,2.568580627,3.516867161,2.567148924
17:59:05,2.568700552,3.516382933,2.567917824
17:59:05,2.568437099,3.517999887,2.568260193
17:59:05,2.568864584,3.518049955,2.567010403
17:59:05,2.568472147,3.518066168,2.566760302
17:59:05,2.568717718,3.517809153,2.568576336
17:59:05,2.567811489,3.517230511,2.56757164
17:59:05,2.568521738,3.517554998,2.567621708
17:59:05,2.568290472,3.517620087,2.567717314
17:59:05,2.569253206,3.517715931,2.567222357
17:59:05,2.56811738,3.517650604,2.567689419
17:59:05,2.56868577,3.517424345,2.567216873
17:59:05,2.569116831,3.517807961,2.568668365
17:59:05,2.568341255,3.51790452,2.567409754
17:59:05,2.568393469,3.517451763,2.566785812
17:59:05,2.568837643,3.517892599,2.566444159
17:59:05,2.56840992,3.516628265,2.567077637
17:59:05,2.568185329,3.516819715,2.567020893
17:59:05,2.568682909,3.517622709,2.568217754
17:59:05,2.568289757,3.518327951,2.568453312
17:59:05,2.568676233,3.517377377,2.56715703
17:59:05,2.568484068,3.517311335,2.567397118
17:59:05,2.568508387,3.518571377,2.566871881
17:59:05,2.568652391,3.516153336,2.56835413
17:59:05,2.568431616,3.517619371,2.567541122
17:59:05,2.5695436,3.516895771,2.567591429
17:59:05,2.569275856,3.516522646,2.568551064
17:59:05,2.568765402,3.517383814,2.567424059
17:59:05,2.568996668,3.51709342,2.567240238
17:59:05,2.568161964,3.516538143,2.567640543
17:59:05,2.569383144,3.516999006,2.568117857
17:59:05,2.569237709,3.517306805,2.568110704
17:59:05,2.569231272,3.518425226,2.567046642
17:59:05,2.569464922,3.517973661,2.568416834
17:59:05,2.568292379,3.516996384,2.567459345
17:59:05,2.568872929,3.518946409,2.567909479
17:59:05,2.569402456,3.518445253,2.566971302
17:59:05,2.569270372,3.517475843,2.567504168
17:59:05,2.569906473,3.518736362,2.568231106
17:59:05,2.569261074,3.519114971,2.567432404
17:59:05,2.569205284,3.517285347,2.568040848
17:59:05,2.568696737,3.517567158,2.567847013
17:59:05,2.569000721,3.517177105,2.566957951
17:59:05,2.569347143,3.517732143,2.567503691
17:59:05,2.568702698,3.517269135,2.567111492
17:59:05,2.568781853,3.51742053,2.566827536
17:59:05,2.56827426,3.516828775,2.56847024
17:59:06,2.56874752,3.517899275,2.568091631
17:59:06,2.5696311,3.517168283,2.568571091
17:59:06,2.568977356,3.517321825,2.568531752
17:59:06,2.569396496,3.517353773,2.567445278
17:59:06,2.568294048,3.51651597,2.567832947
17:59:06,2.569364071,3.516405821,2.566679001
17:59:06,2.569231272,3.516391754,2.568259001
17:59:06,2.568340063,3.516967058,2.567879677
17:59:06,2.568132401,3.516953707,2.567293167
17:59:06,2.568472624,3.517477274,2.56805706
17:59:06,2.569090366,3.517520905,2.56802392
17:59:06,2.568446398,3.517485142,2.567857504
17:59:06,2.568803549,3.518161535,2.567216873
17:59:06,2.568641424,3.517927408,2.568575621
17:59:06,2.568882942,3.518304586,2.567518234
17:59:06,2.56826067,3.517683506,2.566998482
17:59:06,2.568399906,3.517104864,2.568247557
17:59:06,2.568147659,3.51693058,2.567245007
17:59:06,2.567792177,3.518086433,2.566907167
17:59:06,2.568564415,3.517658472,2.568051815
17:59:06,2.568847418,3.517799854,2.566608906
17:59:06,2.568061113,3.517970562,2.567729235
17:59:06,2.569474459,3.517689228,2.567727327
17:59:06,2.568925858,3.518211842,2.56767416
17:59:06,2.569476366,3.518877506,2.567753792
17:59:06,2.567713022,3.517804623,2.566421509
17:59:06,2.568850756,3.517426252,2.566942692
17:59:06,2.568237543,3.51734519,2.567433596
17:59:06,2.568976164,3.517507076,2.568431377
17:59:06,2.568696737,3.517657042,2.56765151
17:59:06,2.568433762,3.517291307,2.567598343
17:59:06,2.568540335,3.517142534,2.567113638
17:59:06,2.568240881,3.516523361,2.566793442
17:59:06,2.568247318,3.51659894,2.566573143
17:59:06,2.568386316,3.517771959,2.567281246
17:59:06,2.569236994,3.517008543,2.566246986
17:59:06,2.568927288,3.517235994,2.56687355
17:59:06,2.568531036,3.517141819,2.566045523
17:59:06,2.568719864,3.516735315,2.567074776
17:59:06,2.569096565,3.516423225,2.567672253
17:59:06,2.568495035,3.517066002,2.567423582
17:59:06,2.568898201,3.517028809,2.567278385
17:59:06,2.56848526,3.516698837,2.566825628
17:59:06,2.568779945,3.517290592,2.567821026
17:59:06,2.568066835,3.516526461,2.566815138
17:59:06,2.569202423,3.518126249,2.567450762
17:59:06,2.567543745,3.517689943,2.56755662
17:59:06,2.568959713,3.518087149,2.567361832
17:59:06,2.568248034,3.517647266,2.568178654
17:59:06,2.568957567,3.51763463,2.568664074
17:59:06,2.568588257,3.518502951,2.567700624
17:59:06,2.568481207,3.518395185,2.567573786
17:59:06,2.569111586,3.51879096,2.567717314
17:59:06,2.569217205,3.518438816,2.567559004
17:59:06,2.569649458,3.518990278,2.566865921
17:59:06,2.569038391,3.518186569,2.568239212
17:59:06,2.5682652,3.518707037,2.567207813
17:59:06,2.568061829,3.518890858,2.56767416
17:59:06,2.568189383,3.517157316,2.567325592
17:59:06,2.569235802,3.517974138,2.568002701
17:59:06,2.568968296,3.517196655,2.567645073
17:59:06,2.569211483,3.517781019,2.566845417
